Names	total	elements
		EPHA4
		MCOLN2
		LOC100129617
		C3orf32
		ZBTB20
		KRT222
		CLEC4GP1
		LINC00305
		MAK16
		PCCB
		ENHO
		TPBG
		ARHGAP15
		LOC100306975
		SPATA4
		AGTPBP1
		NBPF3
		ALDH1L2
		SLC39A5
		NOP58
		LILRA6
		FKBP4
		SF3A3
		C14orf166B
		OR2A9P
		GORAB
		KIF14
		GFI1
		GATA1
		HK3
		LPIN3
		RPL4
		RBPMS
		PTPRH
		EIF4A3
		SPATA19
		RPS21
		NMNAT2
		UBE2N
		PSMF1
		SH3PXD2A
		MAGEB6
		LINC00475
		CYP4A22
		C17orf72
		IFI27
		RPL13AP3
		OLFML2A
		LOC340335
		UIMC1
		ZCCHC12
		SNHG13
		C2orf78
		SFRP2
		ABCC6P1
		POLD2
		PPM1H
		JPX
		TBX21
		HIST1H4I
		LOC100129322
		AHRR
		MANF
		GSTM2P1
		KLHL6
		HOXB5
		TMEM238
		KIF25
		CRABP1
		PCDHGB4
		GTSF1
		LOC338799
		LINC00313
		ZNRD1
		KIAA1908
		KIAA0664
		FAU
		PDGFRB
		IL17D
		LDLRAD2
		GPR158
		KCNIP4-IT1
		OAS1
		NOXA1
		PHB2
		MRTO4
		C1QBP
		NDUFB8
		LOC100131608
		HIST2H3D
		SLA
		TRIM45
		ANKRD26
		CPVL
		RGS20
		CENPL
		PTCRA
		VWCE
		ESPNL
		LDLR
		PI15
		RPN1
		KIF4A
		UCN2
		FAM161A
		PGM1
		SNRPC
		PGLYRP1
		RCAN1
		OR11L1
		SET
		LOC153684
		NAB2
		HIST1H4L
		NTN4
		ATP5H
		LINC00239
		HIST1H3E
		C6orf225
		RAB20
		CD177
		C1orf115
		TAF9
		DCAF11
		HERC6
		XAF1
		ENKUR
		ABCG8
		CECR5
		LOC391766
		GPR174
		RPS29
		EMR2
		TALDO1
		APOBEC3A
		C5orf56
		LPPR4
		NRAP
		HCFC1R1
		EIF5A
		GLIPR2
		PPFIBP1
		FAM49A
		LYPD3
		UBE2Q2P2
		MCM10
		PARD6G
		SLMO2
		PCDHGA5
		ELF4
		UBE2J1
		CLIP2
		TPI1P2
		CD83
		GALNT9
		C19orf22
		LOC100128398
		SLC35B1
		HHIPL1
		SLC9A2
		CD93
		CEP164
		NEURL3
		E2F4
		PSMD12
		ACLY
		TRPC1
		GYPA
		USP43
		CYP4F12
		SMS
		TAF1D
		GCH1
		PEF1
		FAM199X
		SLC44A5
		HSP90B3P
		ECHDC3
		LOC100132891
		RPL39
		SDK2
		RABGGTB
		HMBOX1
		PTP4A3
		PODXL
		LOC100131234
		CCT6B
		ZFHX2
		HBQ1
		NR1D2
		FBXL5
		C13orf27
		JAGN1
		NPNT
		RNF43
		RAB44
		PTPN4
		TEKT2
		ERH
		HN1
		OR2L13
		BDNF-AS1
		FAM96A
		CDH11
		SETBP1
		RPS7P5
		AREG
		ZBTB7C
		ITGA2
		SENP3
		C1orf212
		EEF2K
		KANK4
		TUFM
		WDR26
		MBL1P
		LOC100505806
		SPTLC3
		TOMM22
		ULBP1
		LOC100130876
		OIP5
		CCNA2
		MALL
		GPR124
		TMEM132A
		LOC100131826
		C13orf33
		C1orf180
		RUVBL2
		ACPL2
		WNT10B
		RPLP2
		LOC285965
		LOC100133286
		ISCA1
		LOC100506191
		C12orf48
		GPR160
		LOC401188
		SRSF3
		EIF3H
		SLC25A39
		GNGT1
		AMOTL2
		ALAS1
		KIF5C
		ADAMTS17
		CBLN2
		MRPL37
		NDUFV2
		C9orf135
		PSMA5
		APOM
		MAPK1IP1L
		PKP2
		SPATA16
		C1orf135
		SFXN3
		FBXO7
		ST6GALNAC3
		GCLC
		FKTN
		TWSG1
		ZMYND10
		RERGL
		ADAMTS6
		TBPL2
		BLVRB
		GTPBP2
		C9orf93
		CRNDE
		PRRX2
		STK39
		TRIM47
		MMP24
		ADCY1
		CKS2
		ZNF846
		SLC22A3
		HMBS
		LINC00161
		TOR1A
		EFR3B
		GADD45B
		KLHDC1
		LOC441455
		DAAM2
		C2orf48
		TDP1
		ZNF287
		RFK
		ARHGAP8
		FOXG1
		LOC100128001
		AMTN
		FLJ34503
		FPR1
		SYN2
		DEPDC1
		LOC400456
		GRAMD1C
		SMOC2
		ANKRD65
		ARHGDIB
		QSOX2
		HFM1
		YBX1
		STK24
		FH
		LGALS2
		CNBD1
		DACT2
		KIAA1045
		MAGEA8
		PARVG
		MATL2963
		LOC388796
		HIST1H4B
		LOC100507747
		NRN1L
		LOC646324
		DCTN4
		LMO7
		SNORA23
		ALDH1L1
		NUTF2
		CCL23
		GOLGA7B
		LINC00340
		RBM4B
		HOXD8
		CITED2
		MAN1A1
		FNDC4
		SIAH2
		IFNE
		ALOX12
		EIF4E
		ABHD5
		PCDP1
		ATP5A1
		TMBIM1
		GSC
		ZNF114
		LALBA
		ATP5J2
		EXOC3L4
		BATF2
		GUSBP5
		EMB
		LPAR3
		GMCL1P1
		ATP2C2
		LINC00320
		MAF1
		PCDHB14
		CD276
		SPAG5
		KIAA0408
		IFIT1B
		XPO6
		OGN
		BBS9
		CR1L
		C9orf72
		SLC44A3
		FAM184B
		HMHA1
		C1orf133
		RAD23A
		MT1E
		IFT172
		GFOD1
		C15orf26
		GPR20
		RFPL3
		CCDC3
		TMEM182
		PNMA2
		AGRN
		PRMT5
		FAM171B
		RTN2
		PRPH2
		PRPS1L1
		HIST2H3A
		FLJ13744
		PDLIM1
		CHD7
		RNF126
		RPS10
		KLK7
		ALOX5AP
		OLFM4
		SLC6A1
		SERTAD4
		SPRY1
		RPSAP52
		CDON
		SH3YL1
		ITGBL1
		LOC440905
		BIVM
		GALNT6
		SLC25A4
		ZMAT1
		SESN1
		FBXO9
		CDHR4
		GBE1
		SNX5
		MAPKAPK3
		DPY19L2P1
		CAPN2
		DZIP1
		LINC00256A
		RPL29P2
		HIST1H2AJ
		CCNB2
		HOXA11-AS1
		FLJ13197
		RPL15
		ATP5G3
		TMEM196
		PRC1
		GTF2IRD2B
		HOXC4
		DDX3Y
		C14orf37
		LRRTM2
		LOC100129408
		OSBPL7
		ABCF1
		CDT1
		LRRC49
		ZNF624
		LRP8
		LOC284581
		CENPW
		CNTN1
		QRICH2
		KIAA1377
		MINPP1
		MPHOSPH6
		RGS11
		HOXC10
		CLPTM1L
		MEOX2
		ATP6V0C
		LINC00304
		ENPEP
		HIST1H2BI
		SH3D21
		TIMM23
		CAPN11
		BIN2
		RPL18A
		MPP6
		C2orf80
		UBE2O
		G6PD
		APOLD1
		TMEM126A
		GABRP
		SCARA3
		TACSTD2
		EIF3J
		LOC285300
		ZNF541
		ROBO4
		LOC100128420
		HBBP1
		C7orf61
		CPEB4
		MYOC
		RPL3
		APOO
		FARSA
		ACSL1
		LOC100653080
		CMAS
		SRGAP1
		LY6G6F
		LOC100270710
		C8orf31
		SPATA18
		CCNE2
		SLC6A8
		CDC45
		HPDL
		TBX3
		CRIP2
		LOC441052
		MGC24103
		CSN1S2AP
		LOC401022
		MAP3K12
		UNC13A
		CCDC136
		SLC3A2
		SLC5A10
		MTHFD1L
		HIST1H2AC
		NCL
		TUBGCP4
		SSR2
		IL25
		HIST1H3C
		CRELD1
		C5orf30
		HCG18
		AMDHD1
		KBTBD10
		FLJ46552
		FBXO47
		WDR27
		MCM2
		KIAA1239
		GRPR
		KIAA0922
		LOC100506328
		MCM4
		CXorf59
		PDZD2
		RAB32
		WISP1
		C11orf92
		IST1
		RAB22A
		STAU1
		NME5
		DDX21
		FAM66C
		APOC2
		PTPN6
		MKRN7P
		P2RX1
		HBM
		GAS2
		PCDHB9
		METAP2
		RHOG
		PDHX
		HBB
		HEY1
		ITGAX
		MTPN
		C19orf29-AS1
		LOC84856
		FCRL5
		GPR84
		PRPH
		PPP2CA
		ZNF474
		FGF10
		ODC1
		LOC153910
		CIRH1A
		HIST1H2AB
		E2F2
		SYBU
		C5orf27
		ENO3
		PDE4DIP
		ZNF204P
		NAB1
		GAS1
		PEG3
		NT5C3
		LOC84989
		NADK
		ZNF532
		CRIP1
		ABHD10
		CA8
		KIF1A
		CKAP2L
		CYP27C1
		LOC284576
		MED12L
		ARG2
		NOL7
		ASH2L
		ADAP2
		ICAM3
		LOC645586
		IFNA14
		SLC1A3
		ZNF594
		ADAM8
		EIF1AY
		RNH1
		MAFG
		C14orf119
		PTTG3P
		C10orf131
		TOMM5
		OSBP2
		CBX3
		CLIP3
		SULF1
		C11orf48
		ELOVL1
		PRDM5
		KIF3A
		LPP-AS2
		KCNV1
		DCXR
		PTGFRN
		CASKIN2
		SIGLEC5
		LOC729680
		NBEAP1
		DAGLA
		LOC100653515
		SPIN3
		CUL7
		LIPC
		HIST1H3D
		HS3ST2
		SLC6A12
		TGM4
		RNF10
		PHKG1
		QRFPR
		RARRES1
		LOC100128950
		CLEC5A
		FAT1
		LOC100509091
		B3GNTL1
		MGAT3
		ARPC5L
		MAGOH
		ZCCHC13
		SIM2
		STRA13
		GJC1
		GATA2
		EXO1
		HIST1H4H
		CELSR2
		KIRREL
		AJUBA
		TNAP
		GRP
		LOC100130373
		EBNA1BP2
		CIAPIN1
		TET1
		PTRH2
		SNORA33
		LOC100132292
		HILPDA
		PLEKHJ1
		SNHG6
		STAMBPL1
		LOC100128988
		FPR2
		CCNF
		SRM
		HIGD2B
		PPM1G
		NOVA1
		LOC100128501
		TMIE
		HADHA
		C9orf123
		CCBE1
		ZNF135
		CCDC42
		PER1
		PGM5
		TIMM50
		MUSTN1
		RND2
		C10orf105
		OIP5-AS1
		ZIM3
		MYH4
		VMA21
		LOC100147773
		SH3BGR
		PCDHGB3
		PCDHGC3
		ASB5
		BOLA3
		TMEM232
		KIR3DL3
		SLC27A2
		FAM46C
		DUS1L
		G6PC
		TMEM183B
		MAPKBP1
		CPE
		TOMM40
		RPL23A
		SYCE2
		CD200R1
		UST
		GSTM5
		RFFL
		LCAT
		PDCD1LG2
		FLJ45139
		ARHGEF25
		ZNF404
		ADSS
		HOXA11
		SKIL
		LY9
		PYGO1
		TLE4
		ALAS2
		PKP3
		ZBTB7B
		CTSO
		MARS2
		ABCC13
		COL24A1
		ANO3
		SDF2L1
		DEK
		C10orf113
		HOXA6
		HSF5
		PSMA6
		CD101
		JPH1
		LMO1
		EIF3I
		C11orf41
		JMJD7-PLA2G4B
		FOXF2
		HIST1H1D
		CKMT2
		MRPL36
		NBPF14
		CYB5A
		PITPNC1
		SLIT2
		NCOA7
		ANKRD18A
		C2orf88
		LOC648149
		FLJ42875
		ZSWIM3
		DPPA4
		IFRD2
		HIST1H1C
		KRTAP9-9
		ZNF391
		ARHGEF19
		ABCC8
		BPI
		OR4N3P
		HIST1H2BH
		C22orf36
		HIST1H2BO
		BNC2
		HIST1H4A
		SLC45A1
		HOXB7
		XKR4
		FBXO39
		STMN2
		LOC641467
		LOC100129312
		SLC26A7
		KRT79
		HIST1H3J
		MT2A
		C9orf3
		KLHDC9
		ROR1
		MYO1D
		HINT1
		CHCHD2
		NDP
		RHOBTB1
		C20orf96
		KAZN
		RPS16
		ZBTB46
		ZNF214
		RPL14
		MAFF
		KLK3
		LTBP3
		MAB21L1
		ADAM2
		CCT6A
		TBC1D8B
		FLJ43663
		LINC00472
		TMEM147
		RGL4
		ZNF503
		DIO3OS
		GULP1
		KCNE4
		KCNS3
		TMEM37
		TPD52L3
		C1orf162
		SLC38A11
		PCDHGA3
		HIST2H2BE
		THEMIS
		SLC5A8
		UQCRH
		OR6C3
		NCLN
		ANKRD58
		COL12A1
		FOLR3
		LOC100507410
		SAT1
		ZNF251
		RCBTB2
		ZNF280D
		COLQ
		MGC23284
		DNASE2B
		ALPK2
		PSD3
		ABCA13
		ISCA2
		PNP
		MLLT4
		FANCD2
		LOC286272
		ARL6
		ZNF519
		METTL1
		C19orf80
		FLJ42022
		AFF3
		MYB
		CDC25A
		PLXNA3
		ANKRD37
		ESPL1
		RCN3
		B3GNT5
		TBC1D19
		CHPT1
		ACTR3
		ZNF225
		LOC100127994
		ANKRD34B
		LOC653160
		DKFZP586K1520
		CCNA1
		RPL10A
		BID
		IER2
		CXCL14
		LOC283028
		MAGEA10-MAGEA5
		MRPL4
		PPIAL4A
		METTL11A
		WNK2
		LILRA4
		LOC647086
		TAF4B
		CD300C
		GAL3ST3
		TMEM111
		APOBEC3D
		RAP1A
		ARVCF
		MEX3B
		C17orf76-AS1
		DEPDC1B
		FCRL6
		CCDC110
		CLGN
		METTL23
		SLC25A37
		FAM43B
		LOC646719
		NLRC4
		TFDP2
		DICER1-AS
		C20orf24
		DEPDC7
		TPD52L2
		ZNF248
		ZSCAN5A
		SDHB
		RNF41
		UGT3A1
		TTTY15
		CDRT7
		STRADB
		DDOST
		CHSY1
		MYOM1
		TTF2
		KIAA1522
		KCNT1
		SLC39A14
		TIGD6
		LOC100128402
		FAM164A
		ABL2
		PTPRZ1
		ZNF454
		ARPP21
		ABCG1
		MXRA8
		ODF1
		SPAG16
		DSCAML1
		SP6
		NFATC1
		RAC2
		B3GNT9
		PLN
		RPP40
		LINC00085
		TXLNG2P
		INTU
		YOD1
		EML1
		NUP93
		APCDD1L
		RHD
		PTGDR
		LINC00482
		THAP10
		PLP2
		FOLH1B
		RERG
		TAGLN2
		LOC145694
		ITGB4
		DPH3
		CACNA1E
		MURC
		SPATA17
		GYG2P1
		FMO4
		TMEM30B
		OTOR
		MAGI2-IT1
		PLTP
		DFNB59
		LCE1B
		C14orf28
		ANGPTL3
		MYO6
		LOC158863
		DNAJA4
		SLC25A1
		LOC286437
		ATP11A
		AZFP
		ZFP37
		SLC25A5
		CEACAM20
		BTN3A2
		SYT5
		LOC100128727
		BORA
		LEPRE1
		POU2AF1
		PRTFDC1
		MRPL12
		REP15
		NEIL3
		EXD2
		DBX2
		KIF11
		INSC
		PART1
		PSMB6
		JAKMIP2
		MRAP2
		PCDHB8
		PCDHB17
		CCT2
		PRKG2
		ZNF117
		LOC646999
		DCAF12
		OR13G1
		C8orf48
		TNFSF15
		NCF2
		HSD17B11
		GABRR2
		XRCC6
		PAG1
		FLJ26332
		C1QTNF5
		TNNC2
		APOL4
		SCML2
		LARS
		BCL9
		STMN3
		CDK2AP2
		GALNT5
		LOC401497
		LETM1
		PLXNB1
		LOC286063
		LOC728054
		RNASE2
		BCAP31
		HMCN1
		FGD4
		FAT2
		EFCAB7
		SNRPA
		VSNL1
		LOC100127909
		LOC100134868
		LOC283692
		EFTUD2
		LRRC4
		IFFO2
		NACC2
		ZNF382
		LOC647020
		CCDC102A
		WTIP
		FAM194B
		CASP14L
		HAL
		SNRPF
		ARL4C
		UBQLNL
		MAL
		EMG1
		PRRG4
		NCEH1
		HIRA
		ARMC8
		SLC47A1
		DCUN1D3
		DMPK
		PCDHB11
		DHRS13
		SMCR5
		TRIM65
		LOC285441
		MYO10
		PUS1
		RPS13
		BCL9L
		RBM19
		ENAH
		FCGR1B
		C3orf33
		CYP4F3
		RCC2
		SHCBP1L
		AHCY
		ZNF366
		THSD1
		ZNF540
		PTGFR
		TMEM8A
		LRRC25
		EXOSC9
		DLG3
		FAR2
		NAA16
		FTL
		DYRK2
		PAGE2B
		CYP4V2
		LOC149837
		SCNN1D
		ASAP3
		LOC286002
		BHLHE22
		MRPS18A
		LOC100130248
		KIAA1524
		LOC284219
		FLOT2
		LOC100130417
		OXCT1
		LOC100190939
		HECW2
		PKD1L2
		LOC100133190
		NOTCH2NL
		ABCA8
		LOC285629
		CDKN2D
		SYNGR2
		NDUFS2
		SLC43A3
		BTBD16
		INS-IGF2
		GP6
		LOC729313
		SLC25A22
		CTPS
		EYA1
		MRPS7
		KCNQ1OT1
		C1orf195
		PITX2
		DYNLL2
		PITHD1
		GTF2F2
		HPR
		NHP2
		SATB2
		HIST2H2AA4
		ZFHX4
		EMID1
		BLID
		VBP1
		COL6A2
		FZD7
		GPR126
		MFSD2A
		CHL1
		HIST1H2BN
		VANGL2
		HSF2BP
		FA2H
		STC1
		TTLL7
		NAA20
		STOM
		OR1J1
		EGR2
		TMEM8B
		FRMD6
		TMEM14A
		PLS1
		PAGE4
		LOC284108
		RAB23
		ARPP19
		MIR100HG
		EXOC3L2
		ITGB6
		HIST1H2BB
		PDGFB
		NTF4
		PCDHA9
		KCNK17
		SAMD9L
		IFLTD1
		RHAG
		RHBDL3
		GABRB2
		LDHA
		SLIT3
		SDHAP1
		MRPL20
		FAM167A
		YDJC
		ATP5S
		ZNF518A
		NT5DC4
		3-Mar
		C10orf140
		SNORA53
		D21S2090E
		DBX1
		SPDYE3
		PHC2
		LIN7A
		KRTAP10-6
		ROBO1
		GPR141
		CRISPLD1
		RUVBL1
		LOC283174
		SLC36A4
		NOP16
		TSPAN16
		PRSS44
		EBF3
		SEZ6L2
		EMX2OS
		EGFLAM
		ATXN3
		CIDEA
		P2RY2
		FBXO5
		N6AMT1
		ZNF259
		LOC339505
		GARNL3
		LOC100128573
		SLIRP
		HK1
		WDR4
		LOC100129195
		CDC42
		RPL19P12
		NAA10
		UACA
		TM4SF18
		TMEM169
		LOC400965
		RRS1
		AOX2P
		ABI3BP
		CLEC18B
		CXXC1P1
		C6orf97
		HIST1H3G
		ZNF818P
		TUB
		KLF12
		FAM69C
		PCDHAC2
		RUNDC3B
		EREG
		AXDND1
		LRRC15
		TMED5
		LOC285778
		BRP44
		GSTT2
		PCDHGB2
		CAMP
		ADAMTSL2
		GSTA7P
		LINC00202
		HHIPL2
		LOC728903
		PLCD4
		IQCD
		KCNH6
		ALDH7A1
		SRGN
		VDAC3
		EIF3F
		SSR4P1
		CSE1L
		CCNJL
		LOC645434
		PTX3
		AATF
		C3orf80
		SPANXB2
		CENPN
		MRPL50
		ACSL5
		PRUNE2
		LOC441242
		LOC100130992
		ACPP
		EEF1B2
		DKC1
		GART
		DAZ1
		RIOK3
		PER3
		C10orf10
		PCDHGA12
		UBD
		ZNF787
		QPCT
		MGC39584
		GPAT2
		HIAT1
		PELI1
		CELF3
		H2AFZ
		LOC641518
		COX4I2
		MT1X
		H2AFX
		RAB7B
		GNB2
		RPL30
		CCDC30
		NUP50
		SHC3
		KAT2A
		LOC100129427
		DYNC2H1
		DRG1
		KDELR3
		RNF5
		UROS
		SIRPD
		POLQ
		DIMT1
		SPAG4
		MARC1
		HIST1H2AI
		LOC100132396
		LIX1
		ATL3
		EGR3
		C5orf54
		PRR11
		LOC646976
		SKA1
		DARC
		CRISP3
		HIST1H4K
		LOC100128657
		RPL36AL
		NEB
		HEBP2
		FLJ22447
		FBXL2
		PTBP1
		PTPN7
		FBXO44
		CSRNP3
		CCDC164
		CDC7
		MCCC2
		TRIM58
		SPRNP1
		TAS2R14
		GLRA3
		NSDHL
		DMRTA2
		TMEM154
		MTX3
		HNRNPC
		PSTPIP2
		C1QL4
		UBAP1L
		PMF1-BGLAP
		RNF165
		LYPD1
		ISG15
		SUGT1P3
		CCDC142
		ZCCHC14
		NUP210
		LOC643623
		ACAP1
		SUCLG1
		DHX9
		LOC100131129
		TMEM67
		KLRF1
		PODNL1
		SMR3A
		CLDN12
		PSMA2
		THAP2
		C11orf82
		DHFRL1
		RGS2
		TTTY16
		PLCXD1
		MGAM
		PTMA
		NAPA
		DIRAS3
		KIAA1324L
		PRKAA2
		DPT
		LOC100134256
		NDUFV3
		FOSL2
		ABCG2
		BBS2
		TUBA4A
		EEF2
		SPAG17
		PRDX3
		EPHA3
		LMAN2
		CHCHD3
		P4HA2
		RFWD3
		EDIL3
		STXBP2
		SEMA5B
		NPFF
		SELK
		PTPN1
		FLJ22763
		PEX2
		GADD45G
		LOC100130027
		CC2D2A
		CMTM2
		B3GNT3
		UBE2S
		GPR179
		MAGED4B
		MRPL32
		LSP1
		ALOX15B
		CD59
		CAPZA1
		LOC646268
		CRYGD
		HTR2B
		ITGA2B
		LRRC55
		RANBP3L
		ATP5L
		OR2A12
		LYN
		LOC391322
		MRPL3
		NAP1L3
		GMPPB
		AHSA1
		MYO3A
		IFI6
		COX6B1
		FAM198B
		GPR183
		TCN1
		NOP56
		PYGL
		FAM65B
		SNPH
		ICAM4
		C7orf66
		SNRPA1
		ID4
		KIF6
		TAS2R45
		HIST1H2BG
		DGKI
		FAM172BP
		SLC16A6
		RIN3
		LOC100128668
		PLA2G5
		LOC100130428
		TIMM10
		RNASE3
		PSORS1C1
		MTMR9LP
		CD5L
		LOC100131829
		HNRNPF
		COL28A1
		STIL
		ANKFN1
		UBE2C
		DHPS
		TFDP1
		RPL5
		HSPA9
		AXIN2
		DKFZp686M1136
		GTPBP4
		RPS15A
		DUSP21
		SLITRK5
		LOC387810
		C12orf26
		MYO15A
		NDST2
		S1PR1
		SLAMF9
		PPME1
		OR10G3
		EFHB
		NBPF10
		IRGM
		HOXC9
		LOC441204
		ORMDL2
		SERPINB1
		IFI44L
		C13orf30
		FUT9
		PSAT1
		GDPD3
		PTPN21
		TDG
		AGPAT2
		C1orf98
		CCDC65
		WIPI1
		FLJ45248
		GTF2IRD2
		TUBB6
		DCTPP1
		CCDC80
		LOC100131929
		SNORA66
		RNF144B
		PDZD8
		AZGP1
		PAMR1
		PABPC4
		C15orf53
		ABCB10
		PCDHB10
		ULBP2
		DIAPH1
		CORO1A
		RRM2
		NGLY1
		HNRNPAB
		GYPB
		FEN1
		CYP4Z2P
		KLRC3
		WDR72
		PURG
		LOC728573
		LOC100506123
		PKD1L1
		LOH12CR2
		ITPK1-AS1
		HPRT1
		RNASEL
		FANCI
		LOC100130548
		PLBD1
		PSMA7
		TUBG1
		ANKRD2
		CCL28
		SHROOM3
		LOC286161
		MSI2
		C7orf71
		LOC730081
		LRRC7
		PCDHB16
		FAM32A
		ANK1
		WNT2B
		RPL18
		ISG20
		POLR1D
		TEC
		ANKRD29
		FAM75A2
		ABCB4
		C6orf10
		PDZRN4
		SPNS3
		EXD3
		SGMS2
		MXD3
		PAPL
		CNTNAP2
		OR51E1
		DNTTIP1
		C1orf150
		BEX1
		SLC2A4
		PKMYT1
		LOC643837
		RPS19
		SLC41A2
		MAP2
		LYL1
		FBL
		CBLN4
		SOX2-OT
		FAM43A
		WBSCR27
		OR52I2
		RTP4
		LOC153469
		FLRT2
		DZIP3
		C6orf195
		CD48
		PAR5
		FAM55B
		RHBDF2
		SPON2
		NKX2-4
		EFCAB6
		ACSF3
		LOC100130920
		CRYGS
		C12orf53
		LOC646498
		LOC100131089
		S100A10
		COX5B
		TMEM121
		PRDX2
		WDR76
		NKX1-2
		RRP12
		BAZ1A
		PRMT3
		TRIM10
		LRRN3
		LINC00336
		GCNT4
		GPRASP1
		RHBDL2
		HSPH1
		COL17A1
		FAM133A
		LOC90834
		IL7R
		KIF24
		MSRA
		ZSWIM5
		SLC39A3
		DISP2
		C1orf226
		PCDH9
		HIST1H2AH
		ZNF185
		CBLN3
		LOC100507244
		LOC100505648
		C3orf18
		ARHGEF33
		SERPINA13
		LMO3
		NEUROG1
		UBQLN1
		SOCS2
		EXTL1
		GBP3
		RARG
		CD96
		OR5AR1
		CAP2
		DSEL
		CD1E
		C9orf170
		LOC646471
		SRSF9
		MATN2
		TMOD1
		PRELID1
		FAM162A
		NHSL1
		DYDC1
		RBMX
		FGL1
		MPP3
		LCN6
		ACMSD
		LINC00487
		GLRB
		ITGA11
		DEFA6
		UBE2Q2P3
		HAAO
		TNFAIP2
		RASAL2
		SLC38A1
		PAICS
		ZNF575
		MYO1F
		SERPINB10
		CT45A1
		PLCD3
		ARHGEF17
		RBM8A
		LOC283483
		CDV3
		SCUBE2
		MYCBP
		ACSL6
		CHAF1B
		MMP25
		LOC400684
		ULK2
		FABP4
		HIPK2
		GPER
		DDX58
		ENPP6
		ZNF462
		TTC23
		MCM6
		CASC1
		RAD51AP2
		SEC14L4
		RPGR
		OVCH1
		PABPC1
		LOC730091
		LOC100131101
		GPR125
		STARD9
		LOC100287195
		TSR1
		C18orf1
		CDNF
		HIST1H2BM
		CCDC85A
		HEMK1
		EFNA3
		EGLN3
		TBC1D2
		LOC221442
		OR52E8
		NOV
		SHISA2
		HPX
		EIF3K
		TCP11L2
		KLK1
		RRAGD
		LOC100131032
		ENC1
		TMEM93
		MAP2K1
		PNO1
		SIX1
		PTP4A1
		SNORA59B
		C20orf108
		LOC100132987
		ARSE
		TECRL
		GTF3C6
		SHC4
		GP5
		LOC284998
		STC2
		TEX21P
		TMEM132B
		RSC1A1
		PPP1R14C
		COL6A1
		PSMA8
		DEFA8P
		COX4I1
		OAZ1
		AMT
		TCF7
		HDGF
		MMRN1
		LOC400706
		AKR1C3
		KCTD12
		RGPD1
		LOC441493
		WDR52
		ZNF662
		ADAM22
		CFP
		CNIH3
		MFNG
		RNU105B
		DLAT
		CCDC89
		TMEM119
		IGIP
		COX4NB
		TMEM48
		CRIP3
		KPNB1
		PRICKLE1
		PRSS57
		SLC25A38
		CTHRC1
		SIGLEC7
		UHRF1
		FAM70A
		C10orf54
		CCDC165
		AHNAK2
		DLX1
		RNU12
		SCN2B
		LINC00284
		PPA1
		ANKRD55
		SSBP1
		MAMDC2
		ACOX2
		DOK7
		TESC
		LHX2
		PCNXL2
		ATAD5
		NOTCH3
		HIST1H4C
		CALHM2
		PRRT2
		FBXO32
		CRISPLD2
		TRIM15
		CLPP
		TRNP1
		ATP1B3
		HIST1H3F
		SDCBP2
		ANP32B
		PLXDC1
		RUNDC3A
		CDKN3
		PGD
		ARHGEF10
		ITPRIP
		DHX36
		LOC647012
		KLHL3
		FGD6
		OR10G2
		ATP6V1B1
		LOC283332
		PTPN13
		SNAP91
		TAS2R20
		DAPL1
		MTMR11
		DAAM1
		EIF3G
		ARHGAP22
		KRT40
		TTC38
		ZNF259P1
		TTC16
		VRK1
		ADD2
		LRP11
		PISD
		LOC100129931
		C7orf40
		CENPM
		DPYSL3
		BTG3
		TOB1
		LOC730101
		MNX1
		PPIAL4G
		OR10A7
		CMTM7
		ATF7IP2
		EEF1G
		INCENP
		GARS
		SLC16A10
		PTGIS
		NBPF15
		C6orf124
		CEACAM3
		GNL2
		PPP1R27
		ODZ4
		PFDN2
		LINC00310
		HBA2
		ZNF788
		RANGAP1
		NDUFB9
		C19orf59
		PDE12
		TRIM50
		LOC286189
		UGT3A2
		ARNT2
		KCTD1
		LOC253044
		SPOCK1
		HMSD
		LOC100130507
		HIST1H2BF
		CDCA8
		H2AFY
		RNU1-5
		PTPLA
		MT1B
		PYROXD2
		LOC100133461
		ZNF684
		PRSS38
		APOL2
		CNBP
		SLC4A1
		TKT
		BYSL
		COX7A2L
		DDT
		ARRB2
		NCRNA00185
		KLHL2
		LOC400622
		CUBN
		LOC285758
		CRTAM
		HSD17B10
		NAALAD2
		CYP39A1
		FRAS1
		GJD3
		TPX2
		LILRB2
		KIAA0895L
		GYS1
		IGF2BP3
		IMP4
		UBB
		PON3
		SLC38A5
		ARRDC2
		NDUFAF4
		AATK
		NDUFAB1
		CEACAM6
		MSMP
		FXYD6
		AP3S2
		HIST1H4E
		SPN
		PCSK1
		RCL1
		RAB40B
		MAGEB3
		RPS5
		ANP32E
		YEATS4
		MTMR1
		B3GAT1
		HOXA13
		SUSD2
		PCOLCE
		NOC4L
		MNS1
		CSF3R
		POLR3K
		BZRAP1
		PUF60
		ELOVL5
		PCDHAC1
		B4GALNT1
		ARHGAP21
		IRX5
		OR6B3
		RIOK1
		LIMS2
		RAB19
		LOC728978
		BSN
		C10orf136
		HCST
		ENTPD3
		ASPRV1
		NASP
		LOC219731
		GLT8D2
		KRT1
		LYZL1
		GPC5
		SIGLEC9
		C22orf26
		RPL35
		CPNE5
		ZIC2
		ZCCHC5
		ZNF702P
		TOP1P2
		ZFP14
		SLC6A10P
		NT5M
		SIX5
		FIGLA
		TAS2R30
		C15orf52
		TH1L
		CARNS1
		FAM63B
		LOC100507605
		DLX2
		DDX53
		PHF2P1
